stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
189,CWAYLEJW,SW 24 ST & 42 AV,SW 24 ST & SW 42 AV,25.749547,-80.263756,,,,,,0
190,24ST74AW,SW 24 ST & 74 AV,SW 24 ST & SW 74 AV,25.748255,-80.315248,,,,,,0
192,24ST107W,SW 24 ST & SW 107 AV,,25.746823,-80.368325,,,,,,0
193,122A26SN,SW 122 AV @ SW 26 ST,,25.74516,-80.39204,,,,,,0
194,137A26SW,SW 26 ST & 137 AV,SW 26 ST & SW 137 AV,25.743655,-80.415057,,,,,,0
197,27AV183S,STATE HWY 817 @ NW 183RD ST,,25.94041,-80.24549,,,,,,0
198,27AV113S,NW 27 AV & 113 ST,NW 27 AV & NW 113 ST,25.876508,-80.242981,,,,,,0
199,MRTNKINT,DR MARTIN LUTHER KING JR STATION,M L KING JR STATION & 6205 NW 27 AV,25.832248,-80.240652,,,,,,0
200,BRWNSVIT,BROWNSVILLE METRORAIL STATION,BROWNSVILLE STA & 5200 NW 27 AV,25.821998,-80.241292,,,,,,0
201,27AV36SS,NW 27 AV & NW 36 ST,,25.809768,-80.240425,,,,,,0
202,27AVFLAS,SW 27 AV & W FLAGLER ST,,25.771795,-80.239205,,,,,,0
203,COCOGROT,COCONUT GROVE METRORAIL STATION,COCONUT GROVE STA & 2780 SW 27 AV,25.740214,-80.240073,,,,,,0
207,27AVFLAN,NW 27 AV & W FLAGLER ST,,25.772888,-80.239001,,,,,,0
208,27AV36SN,NW 27 AV & NW 36 ST,,25.80956,-80.24008,,,,,,0
211,27AV113N,NW 27 AV & NW 113 ST,,25.87773,-80.242713,,,,,,0
212,27AV183N,NW 27 AV & NW 183 ST,,25.940638,-80.245143,,,,,,0
215,FIU-BBAY,FIU BISCAYNE BAY CAMPUS,FIU BISCAYNE BAY CAMPUS & INSIDE CAMPUS,25.9111,-80.14003,,,,,,0
216,135SWDIS,NE 135 ST & W DIXIE HWY,NE 135 ST & W DIXIE HY,25.899887,-80.17797,,,,,,0
218,135SLEJS,NW 42 AV & 135 ST,NW 42 AV & NW 135 ST,25.895766,-80.267765,,,,,,0
219,E4AV49SS,E 4 AV & 49 ST,E 4 AV & E 49 ST,25.866596,-80.274719,,,,,,0
220,HIALSTAT,HIALEAH METRORAIL STATION,HIALEAH STA & 115 E 21 ST,25.84128,-80.279052,,,,,,0
222,E4AV49SN,E 4 AV & 49 ST,E 4 AV & E 49 ST,25.867641,-80.274547,,,,,,0
223,135SLEJN,NW 135 ST & 42 AV,NW 135 ST & NW 42 AV,25.896454,-80.267134,,,,,,0
224,135S7AVN,NW 7 AV & 135 ST,NW 7 AV & NW 135 ST,25.898758,-80.211157,,,,,,0
225,135SWDIN,NE 135 ST & W DIXIE HWY,NE 135 ST & W DIXIE HY,25.899664,-80.179462,,,,,,0
227,200SBSWN,BUSWAY & SW 200 ST,,25.580496,-80.368244,,,,,,0
228,184SBSWN,BUSWAY & SW 184 ST,,25.597981,-80.35573,,,,,,0
229,184SBSWS,BUSWAY & SW 184 ST,,25.597941,-80.355939,,,,,,0
230,200SBSWS,BUSWAY & SW 200 ST,,25.579509,-80.369431,,,,,,0
231,199S47AS,NW 47 AV & 199 ST,NW 47 AV & NW 199 ST,25.95519,-80.278307,,,,,,0
232,47AV167S,NW 47 AV & NW 168 TERR,,25.926314,-80.27687,,,,,,0
233,171S32AS,NW 171 ST & NW 32 AV,,25.929696,-80.253008,,,,,,0
234,OPKATRRT,OPA-LOCKA TRI-RAIL STATION,TRI RAIL STATION & #480 ALI BABA AV,25.90005,-80.252941,,,,,,0
235,32AV103S,NW 32 AV & 103 ST,NW 32 AV & NW 103 ST,25.86745,-80.250869,,,,,,0
236,32AV36SS,NW 32 AV & 36 ST,NW 32 AV & NW 36 ST,25.808416,-80.248435,,,,,,0
237,32AV34SS,NW 32 AV & 34 ST,NW 32 AV & NW 34 ST,25.806378,-80.248391,,,,,,0
238,32AV34SN,NW 32 AV @ NW 34 ST,,25.80676,-80.24821,,,,,,0
239,32AV36SN,NW 32 AV & 36 ST,NW 32 AV & NW 36 ST,25.809218,-80.24827,,,,,,0
240,32AV103N,NW 32 AV @ NW 103 ST,,25.8676,-80.25068,,,,,,0
242,171S32AN,NW 171 ST & 32 AV,NW 171 ST & NW 32 AV,25.929781,-80.25324,,,,,,0
243,47AV167N,NW 47 AV & 168 TERR,NW 47 AV & NW 168 TE,25.926332,-80.276648,,,,,,0
244,183S47AN,NW 47 AV & 183 ST,NW 47 AV & NW 183 ST,25.940252,-80.277403,,,,,,0
248,95ST22AW,NW 22 AV & NW 95 ST,,25.861357,-80.233964,,,,,,0
249,103S27AW,NW 103 ST & 27 AV,NW 103 ST & NW 27 AV,25.868277,-80.243237,,,,,,0
251,PALM49SW,E 49 ST & PALM AV HIALEAH,,25.867013,-80.282576,,,,,,0
252,49STW8AW,W 49 ST & 8 AV HIALEAH,W 49 ST & W 8 AV,25.866764,-80.299405,,,,,,0
253,103S87AS,NW 87 AV & 103 ST,NW 87 AV & NW 103 ST,25.867535,-80.339038,,,,,,0
257,49STW8AE,W 49 ST & 8 AV HIALEAH,W 49 ST & W 8 AV,25.866499,-80.29908,,,,,,0
260,103S27AE,NW 103 ST @ NW 27 AV,,25.86803,-80.24295,,,,,,0
262,95ST2AVE,NE 96 ST & 2 AV,NE 96 ST & NE 2 AV,25.863465,-80.192712,,,,,,0
265,LINCGRHS,LINCOLN BLVD & GRAHAM DR,LINCOLN BD & GRAHAM DR,25.63122,-80.374946,,,,,,0
267,C124COM3,SW 124 CT & COMM PARTNERSHIP DR,SW 124 CT & COMMTY PARTNERSHIP,25.506138,-80.392734,,,,,,0
271,PALMW4AS,W PALM DR & SW 4 AV,,25.447684,-80.481739,,,,,,0
272,HMSTHIGS,E PALM DR & SW 167 AV,,25.448096,-80.461036,,,,,,0
275,PALMW4AN,W PALM DR & NW 4 AV,,25.447925,-80.481729,,,,,,0
276,312SWASN,WASHINGTON AV & NE 8 ST,,25.47672,-80.476258,,,,,,0
279,C124COM2,SW 124 CT & COMM PARTNERSHIP DR,SW 124 CT & COMMTY PARTNERSHIP,25.506151,-80.392586,,,,,,0
280,US#1CARN,US 1 & CARIBBEAN BLVD,US 1 & CARIBBEAN BD,25.579133,-80.368802,,,,,,0
283,OMNITERW,NE 15 ST & BISCAYNE BD,,25.78966,-80.188499,,,,,,0
284,B.B.36SW,NE 36 ST & BISCAYNE BLVD,NE 36 ST & BISCAYNE BD,25.810698,-80.190242,,,,,,0
286,32AV36SW,NW 36 ST & 32 AV,NW 36 ST & NW 32 AV,25.80894,-80.247975,,,,,,0
287,33AV36SW,NW 36 ST & 33 AV,NW 36 ST & NW 33 AV,25.808857,-80.2502,,,,,,0
288,36STREDW,NW 36 ST & 57 AV,NW 36 ST & NW 57 AV,25.807762,-80.287995,,,,,,0
291,36ST87AE,NW 36 ST & 87 AV,NW 36 ST & NW 87 AV,25.809713,-80.336673,,,,,,0
292,36STREDE,NW 36 ST & 57 AV,NW 36 ST & NW 57 AV,25.807363,-80.290664,,,,,,0
293,33AV36SE,NW 36 ST & 33 AV,NW 36 ST & NW 33 AV,25.80868,-80.250602,,,,,,0
294,32AV36SE,NW 36 ST & 32 AV,NW 36 ST & NW 32 AV,25.808762,-80.247802,,,,,,0
296,B.B.36SE,NE 36 ST & BISCAYNE BLVD,NE 36 ST & BISCAYNE BD,25.810546,-80.189901,,,,,,0
298,W3CT73PS,W 3 CT & 74 PL,W 3 CT & W 74 PL,25.88936,-80.290763,,,,,,0
299,PALM49SS,PALM AV & W 49 ST HIALEAH,,25.867102,-80.283132,,,,,,0
300,E4AVHIDS,HIALEAH DR & E 4 AV,,25.822828,-80.273621,,,,,,0
