stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
04_1_S10,,STOP_04_1_S10,,21.002369,105.861168,,,0,,,0,,
04_1_S11,,STOP_04_1_S11,,20.997784,105.861641,,,0,,,0,,
04_1_S12,,STOP_04_1_S12,,20.992434,105.862244,,,0,,,0,,
04_1_S13,,STOP_04_1_S13,,20.990734,105.864258,,,0,,,0,,
04_1_S14,,STOP_04_1_S14,,20.986567,105.869209,,,0,,,0,,
04_1_S15,,STOP_04_1_S15,,20.984884,105.872589,,,0,,,0,,
04_1_S16,,STOP_04_1_S16,,20.98435,105.873924,,,0,,,0,,
04_1_S17,,STOP_04_1_S17,,20.983118,105.877205,,,0,,,0,,
04_1_S18,,STOP_04_1_S18,,20.981468,105.881371,,,0,,,0,,
04_1_S19,,STOP_04_1_S19,,20.980368,105.885536,,,0,,,0,,
04_1_S20,,STOP_04_1_S20,,20.976952,105.885941,,,0,,,0,,
04_1_S21,,STOP_04_1_S21,,20.972467,105.880424,,,0,,,0,,
04_1_S22,,STOP_04_1_S22,,20.966034,105.874756,,,0,,,0,,
04_1_S23,,STOP_04_1_S23,,20.964684,105.866539,,,0,,,0,,
04_1_S24,,STOP_04_1_S24,,20.965502,105.855354,,,0,,,0,,
04_1_S25,,STOP_04_1_S25,,20.966269,105.844475,,,0,,,0,,
04_1_S26,,STOP_04_1_S26,,20.965128,105.841675,,,0,,,0,,
04_1_S27,,STOP_04_1_S27,,20.960314,105.842026,,,0,,,0,,
04_1_S28,,STOP_04_1_S28,,20.965069,105.842056,,,0,,,0,,
04_2_S1,,STOP_04_2_S1,,20.965069,105.842056,,,0,,,0,,
04_2_S2,,STOP_04_2_S2,,20.965704,105.850334,,,0,,,0,,
04_2_S3,,STOP_04_2_S3,,20.964493,105.858055,,,0,,,0,,
04_2_S4,,STOP_04_2_S4,,20.963902,105.86367,,,0,,,0,,
04_2_S5,,STOP_04_2_S5,,20.965851,105.875542,,,0,,,0,,
04_2_S6,,STOP_04_2_S6,,20.972935,105.881592,,,0,,,0,,
04_2_S7,,STOP_04_2_S7,,20.980267,105.886658,,,0,,,0,,
04_2_S8,,STOP_04_2_S8,,20.981384,105.881691,,,0,,,0,,
04_2_S9,,STOP_04_2_S9,,20.983051,105.877487,,,0,,,0,,
04_2_S10,,STOP_04_2_S10,,20.984217,105.87439,,,0,,,0,,
04_2_S11,,STOP_04_2_S11,,20.984983,105.87252,,,0,,,0,,
04_2_S12,,STOP_04_2_S12,,20.987333,105.868057,,,0,,,0,,
04_2_S13,,STOP_04_2_S13,,20.989084,105.865891,,,0,,,0,,
04_2_S14,,STOP_04_2_S14,,20.99435,105.86264,,,0,,,0,,
04_2_S15,,STOP_04_2_S15,,20.9977,105.861725,,,0,,,0,,
04_2_S16,,STOP_04_2_S16,,21.002251,105.861305,,,0,,,0,,
04_2_S17,,STOP_04_2_S17,,21.005667,105.860924,,,0,,,0,,
04_2_S18,,STOP_04_2_S18,,21.012617,105.858543,,,0,,,0,,
04_2_S19,,STOP_04_2_S19,,21.015783,105.856537,,,0,,,0,,
04_2_S20,,STOP_04_2_S20,,21.019033,105.85511,,,0,,,0,,
04_2_S21,,STOP_04_2_S21,,21.023899,105.856659,,,0,,,0,,
04_2_S22,,STOP_04_2_S22,,21.026983,105.856056,,,0,,,0,,
04_2_S23,,STOP_04_2_S23,,21.032232,105.855515,,,0,,,0,,
04_2_S24,,STOP_04_2_S24,,21.034832,105.854538,,,0,,,0,,
04_2_S25,,STOP_04_2_S25,,21.041733,105.849304,,,0,,,0,,
04_2_S26,,STOP_04_2_S26,,21.042898,105.848076,,,0,,,0,,
05_1_S1,,STOP_05_1_S1,,20.963617,105.830338,,,0,,,0,,
05_1_S2,,STOP_05_1_S2,,20.963833,105.830238,,,0,,,0,,
05_1_S3,,STOP_05_1_S3,,20.965185,105.831108,,,0,,,0,,
05_1_S4,,STOP_05_1_S4,,20.965252,105.826492,,,0,,,0,,
05_1_S5,,STOP_05_1_S5,,20.967468,105.82634,,,0,,,0,,
05_1_S6,,STOP_05_1_S6,,20.970787,105.825859,,,0,,,0,,
05_1_S7,,STOP_05_1_S7,,20.973068,105.824623,,,0,,,0,,
05_1_S8,,STOP_05_1_S8,,20.978851,105.822159,,,0,,,0,,
